population,minimum_age,maximum_age,gender,zipcode,geo_id
74,62,64,male,58318,8600000US58318
24476,,,,76708,8600000US76708
62,35,39,female,60043,8600000US60043
195,5,9,female,29477,8600000US29477
12,21,21,female,65255,8600000US65255
120,60,61,male,39577,8600000US39577
81,5,9,female,72952,8600000US72952
257,55,59,female,28468,8600000US28468
4,80,84,female,58768,8600000US58768
528,70,74,male,20852,8600000US20852
401,35,39,male,16686,8600000US16686
140,75,79,male,19044,8600000US19044
258,22,24,female,44087,8600000US44087
1646,10,14,female,55303,8600000US55303
1334,35,39,male,11358,8600000US11358
23,22,24,female,47941,8600000US47941
205,40,44,male,34102,8600000US34102
246,18,19,female,60053,8600000US60053
1750,,,,29726,8600000US29726
90,75,79,male,53210,8600000US53210
17,40,44,male,62671,8600000US62671
637,5,9,female,77531,8600000US77531
1,22,24,male,7833,8600000US07833
1471,40,44,female,89148,8600000US89148
32,10,14,male,16661,8600000US16661
10,80,84,male,54125,8600000US54125
75,0,4,male,72153,8600000US72153
9,10,14,female,57232,8600000US57232
628,22,24,male,43605,8600000US43605
7,75,79,female,84643,8600000US84643
3,25,29,male,58794,8600000US58794
32,20,20,female,53037,8600000US53037
6089,,,,1983,8600000US01983
1,70,74,male,45115,8600000US45115
8818,,,,24175,8600000US24175
527,15,17,female,95128,8600000US95128
17,60,61,male,68933,8600000US68933
965,40,44,female,33189,8600000US33189
415,67,69,female,27103,8600000US27103
133,62,64,female,6612,8600000US06612
5,85,,male,49835,8600000US49835
48,45,49,male,12431,8600000US12431
183,15,17,male,1220,8600000US01220
430,10,14,male,63105,8600000US63105
912,30,34,female,59715,8600000US59715
32,65,66,male,30576,8600000US30576
6,45,49,male,67028,8600000US67028
153,80,84,female,99507,8600000US99507
434,67,69,male,85387,8600000US85387
8,0,4,male,65446,8600000US65446
4,20,20,male,12207,8600000US12207
48,15,17,male,44411,8600000US44411
4,35,39,female,49634,8600000US49634
14,35,39,male,69166,8600000US69166
180,15,17,male,55009,8600000US55009
246,30,34,female,95650,8600000US95650
16,65,66,male,4554,8600000US04554
29,5,9,male,89018,8600000US89018
756,40,44,female,2888,8600000US02888
33,55,59,male,76483,8600000US76483
4,60,61,male,88314,8600000US88314
457,67,69,female,32738,8600000US32738
148,65,66,male,12054,8600000US12054
2957,,,male,55719,8600000US55719
176,0,4,male,6422,8600000US06422
2244,35,39,female,85032,8600000US85032
392,70,74,female,22508,8600000US22508
23,75,79,female,19373,8600000US19373
602,75,79,male,96003,8600000US96003
44,0,4,female,23038,8600000US23038
609,0,4,male,35404,8600000US35404
130,22,24,female,46507,8600000US46507
18,0,4,male,57428,8600000US57428
4,21,21,female,41862,8600000US41862
17,55,59,female,71630,8600000US71630
31,22,24,female,68731,8600000US68731
99,40,44,male,39746,8600000US39746
9929,,,male,34638,8600000US34638
116,55,59,female,47305,8600000US47305
10,5,9,male,99778,8600000US99778
139,60,61,female,34117,8600000US34117
15,22,24,male,47568,8600000US47568
460,70,74,female,29212,8600000US29212
276,80,84,female,85283,8600000US85283
269,0,4,male,37861,8600000US37861
41,21,21,male,21797,8600000US21797
212,62,64,male,2053,8600000US02053
0,20,20,male,74942,8600000US74942
151,18,19,female,3303,8600000US03303
86,80,84,male,36853,8600000US36853
398,40,44,female,24477,8600000US24477
346,0,4,female,66219,8600000US66219
5,65,66,female,23389,8600000US23389
21,80,84,male,70450,8600000US70450
25,10,14,female,68872,8600000US68872
4,55,59,female,3238,8600000US03238
384,62,64,male,11362,8600000US11362
30,65,66,male,98377,8600000US98377
25,62,64,female,58647,8600000US58647
15970,,,female,45103,8600000US45103
66,85,,male,97023,8600000US97023
119,80,84,female,29456,8600000US29456
0,62,64,female,6020,8600000US06020
1307,15,17,female,76028,8600000US76028
39,0,4,female,63653,8600000US63653
30,80,84,male,54446,8600000US54446
88,25,29,female,67661,8600000US67661
7,22,24,male,15922,8600000US15922
130,15,17,male,54002,8600000US54002
41,45,49,male,38332,8600000US38332
180,21,21,female,20707,8600000US20707
1247,0,4,male,80220,8600000US80220
10,35,39,male,43961,8600000US43961
22,35,39,female,12824,8600000US12824
271,67,69,female,93905,8600000US93905
35,85,,female,27808,8600000US27808
2,80,84,female,99607,8600000US99607
184,65,66,female,71602,8600000US71602
1263,10,14,female,98661,8600000US98661
0,85,,female,93522,8600000US93522
0,60,61,female,57562,8600000US57562
187,60,61,female,63501,8600000US63501
6,5,9,female,65278,8600000US65278
1,21,21,male,61458,8600000US61458
7,60,61,female,32631,8600000US32631
36,60,61,female,95525,8600000US95525
78,55,59,male,55332,8600000US55332
9,35,39,female,97364,8600000US97364
44,22,24,female,35610,8600000US35610
10,65,66,female,58741,8600000US58741
66,22,24,male,67062,8600000US67062
81,50,54,female,93545,8600000US93545
42,62,64,female,98588,8600000US98588
673,50,54,female,91723,8600000US91723
177,50,54,male,86504,8600000US86504
40,15,17,female,57212,8600000US57212
43,0,4,male,62366,8600000US62366
562,,,female,68967,8600000US68967
8,70,74,male,26560,8600000US26560
2,18,19,male,25862,8600000US25862
25,21,21,male,11944,8600000US11944
180,70,74,male,60432,8600000US60432
27,60,61,female,74932,8600000US74932
10016,,,female,1603,8600000US01603
28,75,79,female,59215,8600000US59215
10,35,39,female,64639,8600000US64639
179,5,9,male,37022,8600000US37022
4,21,21,female,16132,8600000US16132
4,18,19,male,51527,8600000US51527
116,20,20,female,18505,8600000US18505
14,80,84,female,87049,8600000US87049
760,30,34,female,85139,8600000US85139
69,80,84,male,30752,8600000US30752
18,85,,male,93451,8600000US93451
588,70,74,male,29681,8600000US29681
111,85,,female,4083,8600000US04083
13,65,66,female,56671,8600000US56671
20,21,21,female,12072,8600000US12072
983,15,17,male,30087,8600000US30087
98,22,24,male,49082,8600000US49082
6,21,21,female,18821,8600000US18821
17,50,54,female,61312,8600000US61312
7,18,19,male,18248,8600000US18248
865,35,39,male,87505,8600000US87505
520,55,59,female,50131,8600000US50131
16,75,79,female,68755,8600000US68755
121,70,74,male,65240,8600000US65240
224,20,20,male,49242,8600000US49242
139,62,64,female,82201,8600000US82201
19,5,9,female,60917,8600000US60917
353,67,69,female,98198,8600000US98198
1,62,64,male,38070,8600000US38070
0,75,79,female,37201,8600000US37201
149,75,79,female,48623,8600000US48623
2,75,79,female,38630,8600000US38630
16522,,,male,19132,8600000US19132
17,10,14,female,42762,8600000US42762
12,5,9,male,69211,8600000US69211
95,5,9,female,98392,8600000US98392
84,35,39,female,80459,8600000US80459
26,70,74,male,66548,8600000US66548
205,15,17,male,1460,8600000US01460
1403,,,,12917,8600000US12917
115,15,17,female,63117,8600000US63117
194,65,66,female,8077,8600000US08077
10,80,84,female,12859,8600000US12859
15,21,21,male,62868,8600000US62868
16,10,14,female,83203,8600000US83203
5,15,17,male,58008,8600000US58008
20,85,,female,73547,8600000US73547
17,85,,male,4576,8600000US04576
738,55,59,male,61938,8600000US61938
29,21,21,female,18088,8600000US18088
14,65,66,male,87024,8600000US87024
14,0,4,female,76519,8600000US76519
4,65,66,male,15848,8600000US15848
593,5,9,male,42633,8600000US42633
17,45,49,male,38318,8600000US38318
128,20,20,male,77904,8600000US77904
19,35,39,female,74845,8600000US74845
1380,50,54,female,2184,8600000US02184
1301,40,44,male,60644,8600000US60644
172,40,44,male,62263,8600000US62263
432,75,79,male,32119,8600000US32119
9,55,59,male,50857,8600000US50857
52,30,34,female,88043,8600000US88043
5,85,,male,52064,8600000US52064
363,0,4,female,76207,8600000US76207
1,20,20,female,1093,8600000US01093
1,85,,female,83548,8600000US83548
15,75,79,male,12957,8600000US12957
27,80,84,male,19543,8600000US19543
2330,,,,42020,8600000US42020
8,80,84,female,39877,8600000US39877
10,45,49,female,15520,8600000US15520
171,67,69,male,64601,8600000US64601
79,20,20,male,46327,8600000US46327
20,15,17,male,21856,8600000US21856
102,22,24,female,85616,8600000US85616
35,35,39,male,56714,8600000US56714
1496,0,4,male,20747,8600000US20747
10,85,,female,44866,8600000US44866
35,80,84,female,75756,8600000US75756
47,80,84,male,56175,8600000US56175
133,5,9,female,38855,8600000US38855
506,40,44,female,82007,8600000US82007
95,25,29,female,64747,8600000US64747
163,75,79,female,28320,8600000US28320
5,25,29,male,62348,8600000US62348
25,62,64,female,50530,8600000US50530
22,20,20,male,7043,8600000US07043
416,55,59,male,18080,8600000US18080
431,5,9,female,38358,8600000US38358
3,80,84,female,27943,8600000US27943
84,80,84,male,53120,8600000US53120
95,65,66,female,14522,8600000US14522
0,65,66,female,1224,8600000US01224
11,65,66,male,60928,8600000US60928
426,45,49,male,60044,8600000US60044
9,15,17,male,93641,8600000US93641
56,80,84,male,32465,8600000US32465
25,62,64,female,54977,8600000US54977
2168,,,,75705,8600000US75705
571,15,17,female,23139,8600000US23139
16,45,49,male,61335,8600000US61335
21,40,44,male,36775,8600000US36775
0,40,44,female,13441,8600000US13441
829,62,64,female,31907,8600000US31907
499,0,4,female,19525,8600000US19525
3197,,,,23069,8600000US23069
183,40,44,male,3824,8600000US03824
110,50,54,male,59872,8600000US59872
88,55,59,female,93651,8600000US93651
103,65,66,male,77031,8600000US77031
646,25,29,female,76126,8600000US76126
14,62,64,female,17768,8600000US17768
73,62,64,female,85630,8600000US85630
324,21,21,female,91606,8600000US91606
47,40,44,female,71835,8600000US71835
772,22,24,female,6360,8600000US06360
2,85,,female,67072,8600000US67072
0,35,39,female,58705,8600000US58705
46,55,59,male,52766,8600000US52766
149,50,54,male,55707,8600000US55707
163,40,44,female,56368,8600000US56368
15,55,59,female,99554,8600000US99554
3,35,39,female,58223,8600000US58223
125,70,74,female,35620,8600000US35620
215,0,4,female,19317,8600000US19317
0,21,21,female,51018,8600000US51018
56,25,29,female,85137,8600000US85137
537,67,69,female,11717,8600000US11717
173,60,61,female,47408,8600000US47408
99,20,20,female,86305,8600000US86305
2,5,9,male,29724,8600000US29724
12628,,,female,48340,8600000US48340
10,25,29,male,54485,8600000US54485
2361,,,,65284,8600000US65284
135,80,84,male,11703,8600000US11703
0,20,20,female,58478,8600000US58478
100,70,74,male,93265,8600000US93265
147,50,54,male,62694,8600000US62694
34,75,79,male,56264,8600000US56264
5,70,74,male,75562,8600000US75562
29,25,29,male,51458,8600000US51458
294,85,,female,93722,8600000US93722
3,5,9,female,12195,8600000US12195
7,30,34,female,15420,8600000US15420
9,65,66,female,74939,8600000US74939
68,60,61,male,95461,8600000US95461
668,25,29,male,88201,8600000US88201
29,62,64,male,62985,8600000US62985
6,80,84,female,26271,8600000US26271
268,55,59,female,28460,8600000US28460
40,,,male,30807,8600000US30807
8,20,20,female,61272,8600000US61272
11,18,19,male,42236,8600000US42236
58,60,61,male,11568,8600000US11568
1,45,49,female,59039,8600000US59039
18,50,54,female,25005,8600000US25005
37,0,4,male,14506,8600000US14506
353,10,14,female,78575,8600000US78575
25,45,49,male,15628,8600000US15628
9,45,49,male,68952,8600000US68952
712,30,34,male,7086,8600000US07086
